id,user_id,user_name,title,description,created_at,published_at,game,url,thumbnail_url,viewable,view_count,language,type,duration
742818771,69906737,chocoTaco,TSM chocoTaco || new patch,,2020-09-16T16:08:27Z,2020-09-16T16:08:27Z,PUBG,https://www.twitch.tv/videos/742818771,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/ef87c6ddd538a6bdd4bc_chocotaco_39716710430_1600272489//thumb/thumb0-%{width}x%{height}.jpg,public,56036,en,archive,5h0m15s
742402058,19571641,Ninja,"Among us with my Valorant teammates, my brother @beardedblevins and some friends <3",,2020-09-16T02:05:05Z,2020-09-16T02:05:05Z,Among Us,https://www.twitch.tv/videos/742402058,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/65224d136525241463a5_ninja_39709484734_1600221898//thumb/thumb0-%{width}x%{height}.jpg,public,1064126,en,archive,4h32m19s
742390736,26154978,Sykkuno,amongus w the bois,,2020-09-16T01:54:16Z,2020-09-16T01:54:16Z,Among Us,https://www.twitch.tv/videos/742390736,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/6a0297fea637eef12f2a_sykkuno_39709210366_1600221246//thumb/thumb0-%{width}x%{height}.jpg,public,482104,en,archive,8h7m2s
742349485,110690086,Myth,FALL GUYS TILL AMONG US WITH FWENDS,,2020-09-16T01:11:23Z,2020-09-16T01:11:23Z,Multiple,https://www.twitch.tv/videos/742349485,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/2568ed7a585712ab3698_myth_39708173726_1600218666//thumb/thumb0-%{width}x%{height}.jpg,public,360936,en,archive,7h54m14s
742278142,69906737,chocoTaco,TSM chocoTaco || help,,2020-09-16T00:03:56Z,2020-09-16T00:03:56Z,Multiple,https://www.twitch.tv/videos/742278142,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/055a3c83b2da8f4fe895_chocotaco_39706432190_1600214618//thumb/thumb0-%{width}x%{height}.jpg,public,34185,en,archive,5h19m49s
741968011,32140000,SypherPK,impossible fortnite hide and seek,,2020-09-15T18:29:29Z,2020-09-15T18:29:29Z,,https://www.twitch.tv/videos/741968011,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/c5274b82596fdc9cb19b_sypherpk_21495688945_8416397043//thumb/thumb741968011-%{width}x%{height}.jpg,public,343,en,highlight,23m2s
741968010,32140000,SypherPK,b roll barry,,2020-09-15T18:29:29Z,2020-09-15T18:29:29Z,,https://www.twitch.tv/videos/741968010,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/57dcaec8b995a2da3bc3_sypherpk_65070817327_9140631574//thumb/thumb741968010-%{width}x%{height}.jpg,public,62,en,highlight,12m26s
741946329,207813352,HasanAbi,NEWSTIME ITS POGGARE,,2020-09-15T18:05:42Z,2020-09-15T18:05:42Z,Just Chatting,https://www.twitch.tv/videos/741946329,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/55a32ff547f5b24aa216_hasanabi_39699987390_1600193133//thumb/thumb0-%{width}x%{height}.jpg,public,281919,en,archive,9h52m52s
741853632,69906737,chocoTaco,TSM chocoTaco || just gaming,,2020-09-15T16:13:20Z,2020-09-15T16:13:20Z,PUBG,https://www.twitch.tv/videos/741853632,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/79c03ce8312efde56fc6_chocotaco_39698811198_1600186382//thumb/thumb0-%{width}x%{height}.jpg,public,67590,en,archive,4h51m24s
741848314,32140000,SypherPK,juicer,,2020-09-15T16:06:11Z,2020-09-15T16:06:11Z,,https://www.twitch.tv/videos/741848314,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/6cf533de4be728ff5868_sypherpk_44415979820_1441868499//thumb/thumb741848314-%{width}x%{height}.jpg,public,71,en,highlight,18m6s
741810375,32140000,SypherPK,PRO FORTNITE CONTENT CREATOR | @SypherPK | 👹,,2020-09-15T15:09:53Z,2020-09-15T15:09:53Z,Fortnite,https://www.twitch.tv/videos/741810375,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/524f9a8cf5fff798d62c_sypherpk_39698283406_1600182575//thumb/thumb0-%{width}x%{height}.jpg,public,196633,en,archive,7h29m29s
741382106,26154978,Sykkuno,derpy among us squad !,,2020-09-15T01:02:31Z,2020-09-15T01:02:31Z,Among Us,https://www.twitch.tv/videos/741382106,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/fa869e7a665bfaad6a66_sykkuno_39690127310_1600131742//thumb/thumb0-%{width}x%{height}.jpg,public,336988,en,archive,6h23m4s
741318259,69906737,chocoTaco,TSM chocoTaco || PMA golf,,2020-09-15T00:00:18Z,2020-09-15T00:00:18Z,Multiple,https://www.twitch.tv/videos/741318259,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/f1d3bdd1670c40c81ea9_chocotaco_39688528494_1600128000//thumb/thumb0-%{width}x%{height}.jpg,public,57023,en,archive,5h10m52s
741122145,19571641,Ninja,One game of valorant and then bed,,2020-09-14T20:23:03Z,2020-09-14T20:23:03Z,Valorant,https://www.twitch.tv/videos/741122145,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/0bfa69f1641e3284f55b_ninja_39684017182_1600114975//thumb/thumb0-%{width}x%{height}.jpg,public,1183086,en,archive,4h34m27s
